intent,query,Answer
가족/무관심,가족 중에 저한테 신경을 쓰는 사람이 없어요.,속상하겠어요. 가족의 지지만큼 소중한 건 없는데 말이에요.
가족/무관심,가족들이 아무도 저에게 관심이 없어요. 익숙해요.,좋아요. 원망하는 말을 해도 제가 눈 감아 드릴게요. 실컷 하세요.
가족/무관심,가족들 다 제가 뭘 어떻게 하고 다니든 관심이 없어요. 당연한 것 같아요.,그런 일이 있으셨군요. 제가 그분들의 몫까지 응원해드릴게요!
가족/무관심,내가 아주 어릴 때부터 가정에 충실한 적이 없었어.,
가족/무관심,내 몸이 아프니까 애들이고 애아빠가 눈에 안 들어오네요.,
가족/무관심,근데 그 후로 가족들이 저를 없는 사람 취급하더라구요.,
가족/무관심,아예 뭐 싫어하고 미워하고 그런 게 아니라… 그냥 진짜 없는 사람처럼…,
가족/무관심,저만 들어오면 다들 그냥 각자 방으로 가고 아무 말도 안 하고 그래요.,
가족/무관심,다들 저한테 관심이 없는데… 뭐… 당연하다고 생각해요.,
가족/신뢰,난 동생이 너무 자랑스러워.,
가족/신뢰,내 가족을 믿어.,
가족/신뢰,엄마는 내가 목표를 이룰 수 있을 거라 굳게 믿어주셔.,
가족/신뢰,백내장과 연로한 내가 믿을 구석은 손자밖에없어.,
가족/신뢰,나는 성적이 상위라서 부모님이 신뢰해.,
가족/신뢰,우리가족은 비밀이 없어.,
가족/신뢰,우리 아빠는 항상 듬직하게 내편이 되어주셔.,
가족/신뢰,난 내 동생을 신뢰하고 있어.,
가족/신뢰,엄마는 항상 나에게 진실을 이야기 해 주셔.,
가족/신뢰,실수로 언니 얼굴에 상처를 냈지만 언니가 화를 내지 않아서 기뻤어.,
가족/신뢰,난 언제나 내 뒤에서 날 지지하고 신뢰하는 엄마 아빠가 계서 너무나 든든해.,
가족/신뢰,가족들을 항상 신뢰하고 있어.,
가족/행복,난 우리 가족이 정말 좋아.,
가족/행복,난 정말 우리 가족이 좋은 것 같아!,
가족/행복,형이 학교에서 소풍을 간다길래 내가 아끼는 옷을 빌려줬어. 기분이 좋아.,
가족/행복,우리 가족들은 매년 내 생일을 잊지 않고 진심으로 축하해줘.,
가족/행복,여행 계획을 짜는데 우리 가족 모두가 내 말을 수용해주니 정말 기뻐.,
가족/행복,잔소리하지 않아도 방을 깨끗하게 잘 치우는 아들이 너무 자랑스러워.,
가족/행복,내 수술비를 감당하기 위해 자녀들이 돈을 모아서 건네줬는데 얼마나 고마웠는지 몰라.,
가족/행복,우리 가족들은 모두 타고난 건강 체질인 것 같아. 모두 건강해서 다행이야.,
가족/행복,내가 드디어 생애 첫 손자를 보아서 너무 행복해.,
가족/행복,우리 남편과 아이의 사이가 좋지 않았는데 요즘 좋아지고있는 것 같아서 기뻐.,
가족/행복,내가 요리를 못하는데 자식들이 내가 차려준 밥을 정말 맛있게 먹어줘서 기분이 좋았어.,
가족/행복,딸이 유학에서 돌아올 거야. 몇 년간 눈을 보며 얘기하지 못했는데 이제 볼 수 있다니 즐거워.,
가족/행복,월급 협상으로 여섯 식구가 함께 살 수 있는 충분한 생활비를 마련할 수 있게 돼서 너무 기뻐.,
가족/행복,생일날 남편이 선물을 줘서 너무 기뻐!,
가족/행복,병원에 있는 나에게 손녀가 직접 쓴 손편지를 보내 왔어. 읽는데 너무 좋아서 눈물이 났어.,
가족/행복,드디어 내일 동생이 와! 갓난아기는 정말 귀엽겠지? 빨리 보고 싶어.,
가족/행복,딸이 처와 대화가 잘통하는것같아 좋다.,
가족/행복,동생이랑 화해를 해서 너무 기뻐.,
가족/행복,엄마가 오늘 외식하자고 데리고 나가 주셔서 맛있는 거 많이 먹었어.,
가족/행복,아내덕에 노후준비를 미리 할 수 있었어.,
가족/행복,이제 중년의 세월이 다가오니 그동안 나와 함께해온 가족들에게 감사한 마음이 드네.,
가족/행복,엄마 아빠가 나를 사랑한데.,
가족/행복,남편이 은퇴하고 우리 부부는 매일 아침 같이 등산을 하고 장도 같이 보러 다니고 여행계획도 세우고 해.,
가족/행복,내 손자가 허리가 괜찮은지 안부전화를 주었어.,
가족/행복,남편이 은퇴하고 너무 행복해. 감사한 일이 많아졌어.,
가족/행복,돈 많은 남편 덕분에 생활비 걱정이 없어. 정말 다행 인 것 같아.,
가족/행복,이렇게 좋은 아내를 만나다니 나는 정말 행복한 사람이야.,
가족/행복,우리 가족은 심성부터가 착해. 서로를 배려하고 안 좋은 말 안 하니 정말 감사해.,
가족/행복,신문을 보니 다른 집은 많이 다투나본데 우리 집은 사이좋고 화목해서 참 좋아.,
가족/행복,우리 가족은 내 맘을 잘 이해해 주는 것 같아.,
가족/행복,손녀가 내 안위를 자식보다 많이 걱정해주는 것 같아 고마워.,
가족/행복,일하다 아파 병원에 실려 갔을 때 바로 남편이 달려와 옆에 있어주어서 고마웠어.,
가족/행복,요즘 힘들었는데 가족들이 곁에 있는 게 참 다행이야.,
가족/행복,며느리가 아픈 아내에게 맛있는 걸 사주라며 달마다 용돈을 보내줘.,
가족/행복,어제 내가 우울해했더니 남편이 경치 좋은 곳으로 드라이브를 시켜줘서 고마웠어.,
가족/행복,남편이 퇴근하면서 생일케이크를 사 왔어.,
가족/행복,우리 영감이 죽을 때는 같이 죽자고 해서 생각해 보니 든든해.,
가족/행복,손녀가 내 안위를 자식보다 많이 걱정해주는 것 같아 고마워.,
가족/행복,우리 부자간은 사이가 좋아서 정말 감사해.,
가족/행복,출산을 맞이하다 보니까 아내에게 감사한 마음이 들어.,
가족/행복,친한 이모가 내 생일을 축하해주셨어.,
가족/행복,우리 가족이 이렇게 다 건강한 것도 정말 감사해야 해.,
가족/행복,사위가 아들 못지않게 나를 챙겨주고 존중해줘서 너무 고마워.,
가족/행복,아기가 건강하게 태어날 수 있도록 나를 잘 보살펴준 남편에게 너무 고마워.,
감사,비록 몸이 젊을 때 만큼 팔팔하지는 않지만 남의 부축 없이 다닐 수 있으니 감사를 해야지.,
감사,내가 보호자도 없는데 신경 써주는 간호사에게 너무 고마워.,
감사,졸업 작품 완성도 때문에 고민이었는데 교수님이 도와주셔서 마무리가 잘 된 것 같아. 기쁘고 감사해.,
감사,좋은 기회가 생긴 것 같아. 다 상사님 덕분이야.,
감사,은퇴를 하고 삶이 삭막할 것만 같았어. 근데 매일매일 너무 즐거운 일만 가득해서 기분이 좋아.,
감사,야호. 이젠 맘 놓고 학교 갈 수 있겠어. 선생님이 돈 뜯어가던 애들을 혼내주셨거든.,
감사,휴가 기간에 나 대신 일 처리해 준 것 고마웠어!,
감사,내가 아파서 퇴사를 했는데 퇴직금 외에 보너스와 손 편지를 받았어. 사장님께 너무 감사해.,
감사,몸이 아픈데 방송 덕에 사람들이 나랑 마누라 사연을 알아가지고 후원금을 줬어. 참 고맙지.,
감사,오늘 감사하는 일이 있었어.,
감사,원래는 계약직이었는데 이번에 정규직 사원으로 전환되어 감사해.,
감사,노인의 건강을 위한 정책이 많이 생겨서 다행이야. 참 감사해.,
감사,선생님께서 빨리 달려와 주셔서 그 애들이 날 못 때렸어.,
감사,지난주에 내 결혼식이었어. 불안한 시국임에도 불구하고 참석해줬던 분들이 많아서 너무 감사했어.,
감사,오늘 스승의 날이라 은사님을 찾아뵙고 왔어. 항상 그분께는 감사한 마음뿐이지.,
감사,내 친구들은 내가 무슨 일이 생기면 자기 일처럼 도와줘서 옛날부터 지금까지 너무 든든해.,
감사,교수님이 나를 회사에 추천해주셨어.,
감사,내가 지금까지 이 회사에서 버틸 수 있었던 건 순전히 내가 모시는 팀장님 덕분이야.,
감사,과외 선생님 덕에 서울권 대학에 붙었어! 너무 감사해.,
감사,주말에 나와 취미를 공유할 수 있는 지인 있다는게 너무 감사해!,
감사,수영 강사분께 작은 선물하나 드릴까 해.,
감사,이 나이에 회사를 다닌다는 게 감사해.,
감사,비록 몸이 젊을 때 만큼 팔팔하지는 않지만 남의 부축 없이 다닐 수 있으니 감사를 해야지.,
감사,얼마 전 허리가 아팠었는데 의사선생님 덕분에 낫게 되어 정말 감사하는 마음이 들어.,
감사,지금까지 날 믿고 버텨줘서 너무 고마워.,
감사,우리 담임 선생님 덕분에 나의 꿈을 이룰 수 있게 되었어.,
감사,주위에서 나를 사십대로 보지않고 삼십대로 봐주니 고마웠어.,
감사,오늘 완전히 감동했어! 직장동료들이 나 모르게 케이크를 준비해서 깜짝 생일파티를 열어줬어!,
감사,진로 고민이 너무 많았는데 상담 선생님이 도와주셔서 정말 감사한 것 같아.,
감사,유독 나에게 잘 대해 주는 형님이 한 분 계셔. 항상 고마워서 개인적으로 한번 어떻게든 보답을 해야지 하고 고민이야.,
감사,평소에 사고만 치던 직장동료가 드디어 큰 계약을 성공시켰어. 덕분에 다들 보너스를 받을 수 있게 돼서 너무 감사해.,
감사,나이가 있어도 나는 아직 건강한 것이 감사해.,
감사,오늘 퇴원했더니 경로당에서 잔치를 열어줬어. 너무 고맙고 행복해.,
감사,세상에는 감사할 일이 참 많은거 같아.,
감사,여태껏 살면서 별로 감사할 줄 몰랐는데 요즘은 살아있는 것 자체가 감사하는 마음이 드네.,
감사,좋은 기회가 생긴 것 같아.다 상사님 덕분이야.,
감사,지하철을 타면 나에게 자리를 양보해주는 젊은이들이 참 고마워.,
감사,요즘 하루하루 감사하며 살고 있어.,
감사,항상 감사하며 살고있어.,
걱정,나도 그런 거 아닌가 걱정돼.,걱정이 많으시군요. 걱정거리를 정리하는 시간을 가지면 도움이 되지 않을까요?  
걱정,"처음엔 치료 받으면 낫겠지 생각했는데, 낫지도 않고 계속 병원을 다니니까 너무 걱정되요.",당연히 걱정이 되는 상황인 것 같아요. 저도 마음이 아프네요.
걱정,수술한다는 말에 얼마나 걱정이 되던지…,모든 문제는 해결되기 마련이잖아요. 마음을 편히 드세요.
걱정,다행히 수술은 잘 됐다고 해서 다행이야. ,
걱정,솔직히 좀 걱정돼. ,
걱정,"그때 든 생각은 이거 진짜 큰일 났구나, 그거밖에 없었어요.",
걱정,근데 거기 다니는 애들이 저를 어떻게 생각할지 너무 걱정이 되더라고요.  ,
걱정,"아무리 고민을 해도 당장 결론이 나는 게 아닌데, 누워서 그 고민만 하다가 시간을 다 보내는 거야.",
걱정,몸이 바쁘지 않으니까 생각이 많아져. ,
걱정,그래서 혹시나 불미스러운 일이 있으면 어쩌나… 걱정이 돼.,
걱정,솔직히 사무실에 딱 두 명이서 일하는데… 걱정하는 것도 오버는 아니잖아.,
걱정,나 정말 어떻게 해야 할까?? ,
걱정,어떻게 해야 할까??,
걱정,계속 이럴까 봐 너무 걱정돼.,
걱정,나중에 엄마가 알게 될 텐데 어떡하지. 생각이 들면서도 발은 안 떨어져요.,
걱정,신입생 애들이랑 나이차이가 좀 나서 적응할 수 있을지 걱정이 되더라.,
걱정,뭔가 내 몸에 이상이 생긴 건가 싶었어요. 병원에 가야 하나…,
걱정,여행 마치고 집에 왔을 때도 또 그런 증상이 생길까봐 걱정이 됐어요.,
걱정,근데 한편으론 내가 왜 이러나 걱정이 되기도 해요.,
걱정,인사했는데 상대방이 안 받아주면 어떡하지? 어색하고 그럴까봐 먼저 인사를 못하겠어요.,
걱정,"이대로 살아야 싶기도 하고, 아이를 가져도 독박육아는 이미 정해진 것 같은데… 할 수 있을까 걱정도 되고…",
걱정,그래서 몸에 문제가 있나 싶어서 병원을 가보려고 했다?,
걱정,그래서 가볼까 생각중이긴 한데 또 걱정이야.,
걱정,일은 없는데… 그냥 쓸데없는 걱정? 그런 게 좀 많아요.,
걱정,그럼 또 나는 엄청 걱정이 되는 거야.,
걱정,혹시 누가 들었을까 봐 조마조마할 때도 있어.,
걱정,혹시 더 큰 문제가 있는 건 아닐까?,
걱정,시간도 많이 걸리고… 또 틀릴까 봐 걱정스러운 마음도 계속 들고.,
걱정,부부 사이가 혹여나 멀어지진 않을까 걱정도 돼요.,
걱정,너무 걱정스러워요.,
걱정,어떡하죠?,
걱정,걱정이 이만저만이 아니야.,
걱정,나쁜 성분 같은 게 있으면 어떻게 해.,
걱정,뭐 큰일 있진 않겠지?,
걱정,정말 내가 왜 이러는 걸까?,
걱정,저는 어떡하면 좋죠?,
걱정,걱정스럽네요.,
걱정,차라리 화를 내는 게 나으니까 너무 걱정 많이 하지 말라고 그러더라.,
걱정,내가 요즘 그렇게 걱정을 많이 했나?,
걱정,어떡하면 좋지…,
걱정,아니라고 말해줘.,
걱정,이제 어떻게 해야 하나…걱정이야.,
걱정,살 날이 걱정입니다.,
걱정,속은 시원한데…앞으로가 걱정이야.,
걱정,내가 일을 할 수 있는 상황도 아니라..하루하루가 걱정이더라고..,
걱정,그렇다고 일을 안할수도 없는데..걱정이 이만 저만이 아니야.,
걱정,계속 이렇게 살 수는 없는데 어쩌면 좋을까?,
걱정,계속 먹어도 되는 건지 모르겠어.,
걱정,내가 유별난걸 아는데..걱정을 멈추는게 내맘대로 안돼.,
걱정,근데 문제는 이게 계속 걱정된다는 거예요.,
걱정,그게 깔끔하게 잘 제거 됐다는 걸 아는데도 그냥 걱정이 돼요.,
걱정,예를 들어 분명 돈이 있는데도 나중에 돈이 없으면 어떡하지 이래요.,
걱정,밥 잘 먹고 있다가도 이게 상한 거면 어떡하지 이런 걱정도 하구요.,
걱정,그냥 되게 자잘하게 걱정이 많아.,
걱정,다른 때는 그래도 괜찮은데 수업할 때도 이럴까봐 너무 걱정이야.,
걱정,내가 확인하지 못 한 게 있는 건 아닐까 걱정돼서요.,
걱정,이런 걱정이 엄청 드는 거야. 아무래도 이걸 평생 하진 않을 것 같단 말이야.,
걱정,근데 요즘엔 별의 별 걱정이 다 드는 거야.,
걱정,이게 커가면서는 좀 덜해졌는데 요즘 들어 문득 계속 걱정이 돼.,
걱정,"잘 지켰나, 잘 안 지킨 건가 싶어서 너무 걱정이 되거든.",
걱정,내가 평소에도 걱정이 좀 많거든.,
걱정,막 집에 있을 때도 갑자기 집이 무너지면 어떡하지 싶어.,
걱정,그렇다고 해서 일도 못 하고 그러는 건 아닌데 그래도 잔 걱정이 좀 많아.,
걱정,어떻게 하면 좋을까… 싶어서 걱정이 되게 많아요.,
걱정,요즘 이거 때문에 잠도 안 오고 진짜 걱정돼서 미치겠다.,
걱정,"또 실수하지는 않았을까, 걱정이 들어요.",
걱정,아침에 눈뜨면 오늘은 뭘 해야 할지 걱정부터 들어요.,
걱정,성격이 불같아서 걱정이에요.,
걱정,다른 때는 그래도 괜찮은데 수업할 때도 이럴까봐 너무 걱정이야.,
걱정,요즘 들어 내가 그런 거 아닌 건가 싶어서 걱정 된다니까.,
걱정,그래서 더 걱정되는 것 같기도 해요.,
걱정,진짜 걱정이 이만저만이 아니다…,
걱정,안 해도 되는 걱정을 굳이 사서 하는 편이라 더 그랬어요.,
걱정,근데 이거 때문에 좀 걱정이 많아요.,
걱정,딱히 스트레스 받는 건 없었는데 진짜 그런 문제였던 건가 싶어서 걱정돼.,
걱정,앞으로 나는 뭘 해 먹고 사나 같은 이런저런 걱정이 들고…,
걱정,"앞으로 난 뭘 해야 할까, 내가 뭘 잘 하긴 하는 걸까 걱정이 많았거든요.",
걱정,무슨 문제가 있는 건 아닐까 싶어서 걱정이 돼요.,
걱정/건강,나이를 먹을수록 몸이 예전 같지가 않아서 걱정이야.,
걱정/건강,요즘처럼 일이 많아서는 정말 몸이 견뎌내지 못할 것 같아.,
걱정/건강,주변에 아픈 사람이 너무 많아.,
걱정/건강,"원래 안 그랬는데, 최근 생리가 불규칙해져서 호르몬에 이상이 생긴 건 아닌지 걱정이 됐어요.",그렇군요. 불편하고 걱정이 되겠어요.
걱정/건강,한 두 달 가까이 안 나오다가 2주 정도 연달아 할 때도 있고…,힘드시겠어요. 정기적으로 병원에 방문하는 게 건강에 도움이 된다고 해요.
걱정/건강,생리가 불규칙해. 어릴 때부터 그랬는데 요즘은 더 해.,
걱정/건강,좀처럼 생리날짜를 종잡을 수가 없어.,
걱정/건강,심지어 생리전증후군도 없어서 언제 시작할지 몰라서 항상 생리대를 들고 다녀.,
걱정/건강,근데 작년에 건강검진을 받아보니까 갑상선에 혹이 생겼대요.,그러셨군요. 걱정이 많겠어요.
걱정/건강,병원에 가보니 갑상선에 문제가 생겼다고 하더라구요.,잘 이겨내리라고 믿어요. 기운을 내세요.
걱정/건강,갑상선 수술은 잘 끝났고 이제 약물치료 할 거래.,
걱정/건강,인터넷에다가 검색을 좀 해보니까 갑상선에 문제가 있으면 비슷한 증상이 생기더라구.,
걱정/건강,갑상선 수술 이후에 약을 복용하고 있어요.,
걱정/건강,"한 2주 갔는데, 너무 몸이 안 좋아졌어요. ",최근에 건강 때문에 힘드시군요. 건강을 잃은 것만큼 힘든 일은 없죠… 기운 내세요.
걱정/건강,그거 때문에 병원도 계속 다니고 있고.,다시 건강한 삶을 찾을 수 있을 거예요. 걱정 마세요.
걱정/건강,염증 때문에 병원에 자주 다니다 보니까 환자들을 많이 보게 돼.,그러셨군요. 몸이 아프면 덩달아 마음도 힘들어지는 것 같아요.
걱정/건강,제가 원래 건강체질이거든요. 뼈도 통뼈고.,그럴 때일수록 식사와 수면이 중요하다는 거 아시죠? 잘 버텨내보자구요.
걱정/건강,WPW증후군 진단 받았는데 심각한 것 같진 않아서 따로 치료를 받은 적은 없어요.,
걱정/건강,그날 제가 하루 종일 굶어서 순간적인 쇼크였나 싶기도 한데…,
걱정/건강,몸만 안 아프면 걱정할게 없는데…,
걱정/건강,내가 밥을 잘 안 먹어서 아픈 거래.,
걱정/건강,최근에 아픈 날이 많아진 거 같아.,
걱정/건강,퇴원 수속 밟고 회복 중이에요.,
걱정/건강,아직까지 큰 문제는 없다고 하는데 먹는 거나 생활할 때 신경 쓸 게 너무 많아.,
걱정/건강,몸이 망가져버린것 같아.,
걱정/건강,그래서 저는 제가 건강한 줄 알았죠.,
걱정/건강,요새 몸이 안 좋아.,
걱정/건강,몸이 자주 아파요.,
걱정/건강,"학생 때는 친구들과 함께 있고 몸이 아파도 금방 회복되고 괜찮았는데, 직장인이 되니까 그렇게 안 되더라고요.",
걱정/건강,암세포라는 게 쉽게 생기는 건 아니잖아요.,
걱정/건강,저는 크게 음주를 하거나 흡연을 하지 않으니까 암보험도 안 들어놨는데.,
걱정/건강,간이 안 좋아요. 그래서 많이 조심하죠. 식사도 조절하고. 운동도 하려고 해요.,
걱정/건강,간이 안 좋다는 걸 알기 전에는 혼자 있는게 힘들지 않았는데.,
걱정/건강,구강 내에 문제가 있어. 어릴 때부터 종종 치료를 받았는데.,
걱정/건강,근육 체질이라 더 안 빠지는 건데.,
걱정/건강,근데 그렇게 5~6년 동안 한 자세로 오래 있다 보니까 자세가 안 좋아진 거야.,
걱정/건강,내가 몸이 말을 안 들어서 운동도 관뒀는데 관둔 후에도 몸이 말썽이니까…,
걱정/건강,그러다보니까 내 몸은 못챙긴 것 같아.,
걱정/건강,평생 이렇게 살아야할까봐 걱정이야.,건강 때문에 걱정이 많으시군요. 잘 관리하고 계시다면 큰 문제는 없을 거예요.
걱정/건강,나도 혈압이 높은 편인데… 요즘 몸도 안 좋고 해서 자꾸 걱정이 되네..,너무 걱정하지 마세요. 현대의학을 믿자구요.
걱정/건강,나도 이러기 싫은데 자꾸 건강을 걱정하게 돼. ,걱정이 없던 병도 만들 수 있어요. 머리를 비울 수 있게 영화를 한 편 보는 건 어때요?
걱정/건강,근데 아무리 생각해도 문제가 없을 것 같지 않은 거예요.,
걱정/건강,내내 이렇게 누워서 환자 생활만 하면 어떡하죠?,
걱정/건강,호르몬에 문제가 있어서 이런걸 까봐 너무 걱정이 돼.,
걱정/건강,병원에 갔더니 별 이상은 없다고 하는데… 그래도 계속 걱정이 되네요.,
걱정/건강,무슨 큰 병이라도 걸린게 아닐까 너무 걱정 되네요.,
걱정/건강,병원에 가면 치료 의지가 생기는데 집에만 오면 다시 걱정을 해요.,
걱정/건강,위염이 위암이나 다른 암으로 발전하면 어떡하지. 이런 생각을 많이 하는 것 같아요. ,걱정이 많이 될 거 같아요. 한번 병원에 가서 진찰을 받아보는 건 어때요?
걱정/건강,괜히 진짜 큰 병이면 어쩌나 싶기도 하고… 별거 아닌 걸로 병원 가는 것도 좀 그렇기도 하고. ,저도 그 마음 이해해요. 하지만 긍정적으로 한번 생각해보자구요.
걱정/건강,"수술도 잘 됐고, 의사도 회복만 잘 하면 된다는데 자꾸 걱정이 돼요.",건강은 늘 걱정되는 부분인 것 같아요. 
걱정/건강,"원래 병에 잘 걸리지 않는 편이었는데, 한 번 심장이 이상하다고 느끼니까 건강 걱정이 늘었어요.",
걱정/건강,"아, 내가 길 가다가 갑자기 확 쓰러지는 건 아닐까요? ",
걱정/건강,병원에서 몸에 큰 이상이 있다고 하면 어떡하죠?,
걱정/건강,한번 그러고 나서는 건강 걱정이 많아졌어. ,
걱정/건강,"근데 너무 감정이입해서 봤는지, 나도 암에 걸리면 어떡하지라는 생각이 막 드는거에요.",
걱정/건강,큰 병이면 어떡하나 걱정 돼서 병원도 못 가겠어.,
걱정/건강,계속 병원에만 있다 보니까 진짜 문제 있을까봐 걱정이야.,
걱정/건강,몸에 무슨 문제 있는 건가 걱정도 되고…,
걱정/건강,어딘가 잘못됐을까요?,
걱정/건강,다른 병원에 가서 진찰을 좀 더 받아보는 게 맞을까?,
걱정/건강,선생님은 수술 잘됐다고 안심하라고 하는데 밤만 되면 나도 병이 재발하는 게 아닌가 싶고…,또 그런 일이 있다고 해도 한번 겪어봤으니 잘 버텨낼 수 있을 거예요.
걱정/건강,"또 크게 어지럼증이 느껴져서 쓰러지기라도 하면 어떡하나, 큰일이 나면 어쩌나 싶더라구.",너무 걱정이 되면 만일을 위해 대비를 약간 해놓는 것도 좋을 거 같아요.
걱정/건강,또 그런 증상이 나타날까 봐 걱정되네요.,걱정 되는 그 마음 저도 이해해요. 그런 일이 또 일어나지 않도록 제가 지켜드릴 수 있으면 좋겠어요.
걱정/건강,수술은 잘 됐는데 요즘 이게 다시 재발하진 않을까 걱정되고…,
걱정/건강,"아직 병이 다 낫지도 않았는데, 남편이 없을 때 발작이 나면 어떡하지?",
걱정/건강,또 쓰러지면 어떡하죠?,
걱정/건강,백화점이나 극장처럼 사람들이 붐비는곳에 가면 땅이 흔들리는것 처럼 어지러워.,
걱정/건강,수술하고 회복해서 지금은 괜찮은데 재발이 항상 걱정이야.,
걱정/건강,문득 그 때가 생각나서 다시 또 그러진 않을까 너무 걱정이 돼.,
걱정/건강,어떨 때는 들리고 어떨 때는 괜찮으니까… 언제 그런 증상이 나타날까 불안해.,불안한 마음이 드는 게 당연해요! 하지만 미리 걱정하는 건 자신을 더 힘들게 만들 뿐이에요.
걱정/건강,증상이 1~2일에 한번씩 반복됐어요. 언제 나타날지 모르는 증상 때문에 너무 불안했어요. ,미리 비상연락망 같은 걸 만드는 것도 좋은 방법인 것 같아요.
걱정/건강,"다시 공황 증상이 올까봐 불안하긴 했는데, 버스를 아예 못 타는 건 아니야.",주변에 당신의 상황을 알리고 도움을 청하는 게 좋겠어요.
걱정/건강,또 그럴까 봐 너무 불안해.,꾸준히 치료를 받으면 분명 완치할 수 있어요. 너무 불안해 마세요.
걱정/건강,또 사람 많은 곳에서 발작이 일어나면 어떡하지?,
걱정/건강,언제 발작이 일어날지 모르니까 너무 불안해요.,
걱정/건강,이후에 2번 더 증상이 나타났는데 또 그럴까 봐 너무 불안하네요.,
걱정/건강,이게 언제 어디에서 다시 나타날지 모르겠어서 너무 불안했어요.,
걱정/미래,내가 이 회사를 다니는 게 맞나… 그런 생각도 들고요. ,걱정이 되는 그 마음 이해해요. 멋진 미래를 꿈꾸기에는 세상이 너무 팍팍한 것 같아요.
걱정/미래,앞으로 집은 어떻게 사나 싶어요. ,언젠가는 나아질 거라는 믿음이 사람을 버티게 만들어주는 것 같아요.
걱정/미래,좋은 환경에 있어도 잘될까 말까 하는데… 이런 환경에서 사람답게 살 수 있을까?,계속 앞으로 가다 보면 당신에게 맞는 길도 찾을 수 있지 않을까요?
걱정/미래,이렇게 계속 살아도 되는 걸까?,
걱정/미래,언제쯤 제 인생에 해가 뜰까요?,
걱정/미래,상황이 대체 언제 나아질까?,
걱정/미래,앞으로 뭘 하면 좋을까?,
걱정/미래,평생 이러진 않겠지?,
걱정/미래,처음에는 제 미래가 너무 막연하게 걱정돼서 그랬거든요.,
걱정/미래,"슬슬 결혼도 해야 하는데, 어떻게 먹고 살아야 하나 가끔 그런 생각이 들 때가 있어요.",유비무환이라고 하죠? 미리 대비해놓으면 괜찮을 거예요.
